canopy_height,cultivar,season,range,column,leaf_angle_mean,leaf_angle_alpha,leaf_angle_beta,leaf_angle_chi,date,day_offset,single_xgboost,abserror_single_xgboost,single_dtree,abserror_single_dtree,per_cultivar_gboost,abserror_per_cultivar_gboost
26.0,PI303658,4,7,2,0.400999157337,3.72038347331,2.26368464192,1.91211067975,2017-05-18 12:00:00,17,24.029770300871718,7.5778065351087776,20.58974358974359,20.808678500986186,26.005302905166143,0.020395789100551117
27.0,PI641807,4,10,2,0.433657470225,3.0527700336400003,2.09446100716,1.7877962951299995,2017-05-18 12:00:00,17,24.6525067656333,8.694419386543327,20.58974358974359,23.74169040835707,27.004991526370507,0.018487134705580388
16.0,PI576399,4,11,2,0.435177661701,3.0968896101,2.11820043015,1.78923419459,2017-05-18 12:00:00,17,18.18361840843633,13.647615052727069,20.58974358974359,28.685897435897445,16.004449563158815,0.02780976974259275
16.0,PI562981,4,12,10,0.536646586345,1.05619545384,1.2792373113600002,1.3967452328299998,2017-05-18 12:00:00,17,21.178730525455006,32.36706578409378,20.58974358974359,28.685897435897445,16.00583979287527,0.03649870547044465
19.0,PI297171,4,13,2,0.425865985236,3.30104653396,2.15982342369,1.83852427842,2017-05-18 12:00:00,17,20.172471876189324,6.170904611522755,20.58974358974359,8.367071524966269,19.001132180957963,0.005958847147175861
18.0,PI562997,4,14,5,0.416122794295,3.65103913464,2.1887231215900003,1.91384491744,2017-05-18 12:00:00,17,18.73988294811788,4.110460822877116,20.58974358974359,14.387464387464396,18.005944473385817,0.03302485214342868
18.0,PI570114,4,15,3,0.381235313864,4.08878022042,2.35328061627,1.98972645427,2017-05-18 12:00:00,17,15.92321662278948,11.53768542894733,20.58974358974359,14.387464387464396,18.00126438281412,0.007024348967337662
15.0,PI569418,4,15,5,0.384309549166,3.97100688423,2.22794883691,2.01932026389,2017-05-18 12:00:00,17,16.313889723622903,8.759264824152691,20.58974358974359,37.264957264957275,15.004401340396617,0.029342269310781433
20.0,PI524475,4,19,2,0.407296416938,3.31547441415,2.07418406505,1.91231909461,2017-05-18 12:00:00,17,19.5531676975562,2.234161512218993,20.58974358974359,2.948717948717956,20.00478399537745,0.023919976887256666
18.0,PI585461,4,19,5,0.435650988412,2.79310420483,1.92167226746,1.80230299346,2017-05-18 12:00:00,17,17.07561586907768,5.135467394012888,20.58974358974359,14.387464387464396,18.004346414938656,0.024146749659199114
15.0,PI570373,4,21,2,0.447149075858,2.51933051494,1.78072147426,1.7727390786099997,2017-05-18 12:00:00,17,16.623665173844785,10.824434492298565,20.58974358974359,37.264957264957275,15.001710911859984,0.011406079066560437
17.0,PI330184,4,22,6,0.430984501201,2.94651281826,2.02872174043,1.80616894152,2017-05-18 12:00:00,17,18.456506639146635,8.567686112627268,20.58974358974359,21.116138763197597,17.004875081404666,0.02867694943921355
16.0,PI152591,4,25,13,0.40229390681,3.65983077457,2.16624965296,1.96316298791,2017-05-18 12:00:00,17,24.37972818073926,52.37330112962037,20.58974358974359,28.685897435897445,16.005746920850225,0.0359182553139048
20.0,PI329333,4,26,10,0.411797839506,3.24867155166,2.06516685782,1.88371328333,2017-05-18 12:00:00,17,18.58070316339802,7.096484183009899,20.58974358974359,2.948717948717956,20.00485866893214,0.024293344660701877
20.0,PI511355,4,30,13,0.387704335466,4.13176956536,2.36271819261,1.97805724428,2017-05-18 12:00:00,17,18.932636665450147,5.336816672749265,20.58974358974359,2.948717948717956,20.00206883784669,0.010344189233446599
20.0,PI329465,4,3,2,0.409155120891,3.60694971364,2.16937569121,1.91202537598,2017-05-18 12:00:00,17,22.215240371869754,11.076201859348771,20.58974358974359,2.948717948717956,20.004262099849324,0.02131049924662065
26.0,PI152771,4,3,12,0.455555555556,2.82200182468,1.97107677321,1.74939376039,2017-05-18 12:00:00,17,24.25973173477069,6.693339481651195,20.58974358974359,20.808678500986186,26.00444687907025,0.017103381039426872
24.0,PI329473,4,4,2,0.443892778839,2.75032547821,1.91981112219,1.7772922300999998,2017-05-18 12:00:00,17,21.745025589700163,9.395726709582656,20.58974358974359,14.209401709401703,24.005256411562492,0.021901714843715798
16.0,PI569445,4,5,2,0.425332270069,3.2883208767500003,2.16749551432,1.81992300379,2017-05-18 12:00:00,17,18.912629594256217,18.203934964101354,20.58974358974359,28.685897435897445,16.004420077513664,0.027625484460402916
23.0,PI562990,4,28,3,0.390958240119,3.84146849467,2.3423896997,1.92557936375,2017-05-18 12:00:00,17,24.112804702507944,4.838281315251931,20.58974358974359,10.479375696766995,23.004017573494956,0.01746771084763341
28.0,PI19770,4,10,14,0.396501272265,3.49245006924,2.12515934538,1.94295569526,2017-05-18 12:00:00,17,28.89679665027603,3.2028451795572517,20.58974358974359,26.46520146520146,28.00446437389571,0.01594419248468323
14.0,PI221548,4,12,6,0.419215254859,3.16386326834,2.14877979128,1.82207080291,2017-05-18 12:00:00,17,21.149828708643707,51.07020506174076,20.58974358974359,47.06959706959708,14.005030769740522,0.035934069575154534
19.0,PI570042,4,18,2,0.430422576832,3.58407590053,2.32322475949,1.81418395024,2017-05-18 12:00:00,17,19.711263843621303,3.743493913796333,20.58974358974359,8.367071524966269,19.005000583468565,0.026318860360867957
27.0,PI330185,4,19,6,0.36339869281,5.0793905213,2.694453485,2.0470058573900003,2017-05-18 12:00:00,17,26.13977906159385,3.186003475578337,27.5,1.8518518518518519,27.00552905877696,0.02047799547022664
20.0,PI329518,4,22,2,0.398654066438,3.79316325477,2.31470999673,1.91247234132,2017-05-18 12:00:00,17,18.40901133262576,7.954943336871203,20.58974358974359,2.948717948717956,20.002770604355185,0.013853021775922514
25.0,PI257599,4,23,6,0.39086659475,3.60755429404,2.11367134815,1.9707905946,2017-05-18 12:00:00,17,23.076907206797,7.692371172812002,20.58974358974359,17.641025641025635,25.005092934031865,0.020371736127458462
21.0,PI255239,4,23,11,0.414923747277,3.93410629941,2.64833492693,1.7911854043000002,2017-05-18 12:00:00,17,19.15612618540806,8.780351498056863,20.58974358974359,1.9536019536019467,21.004534253285144,0.021591682310207444
21.0,PI641815,4,24,2,0.423056994819,3.46036035387,2.1980897998900004,1.8474116061,2017-05-18 12:00:00,17,20.90510068708007,0.4519014900949123,20.58974358974359,1.9536019536019467,21.004577398141898,0.021797134009035733
21.0,PI562781,4,25,2,0.417431803061,3.09646702423,1.94318103697,1.9025568929,2017-05-18 12:00:00,17,22.165213339993947,5.5486349523521294,20.58974358974359,1.9536019536019467,21.004867744730607,0.023179736812413882
